,ORA_ACTU,GLE_ACTU,ALO_ACTU,KER_ACTU,CAP_ACTU,AIR_ACTU,CS_ACTU,BNP_ACTU,ORA_RDMT_5,GLE_RDMT_5,ALO_RDMT_5,KER_RDMT_5,CAP_RDMT_5,AIR_RDMT_5,CS_RDMT_5,BNP_RDMT_5
2017-01-02,NR,NR,NR,Nouveau record absolu à 216.3E (CF),NR,NR,Cession de Bluefin finalisée au Royaume-Uni (CF),Un nouveau responsable pour l'Allemagne (CF) | Une cession par la branche Immobilier Promotion (CF),0.01441318068260311,-0.014923717438644402,0.0011364057818705753,-0.001384751142245455,0.0013636619881371992,0.03915948895929944,0.019676901138341085,0.013918809839706947
2017-01-04,Partenariat avec PSA et Ericsson (CF),NR,NR,NR,NR,NR,NR,Real Estate participe au CES (CF) | Franchit le cap des 62E (CF),-0.003740245186068636,-0.03814657674520716,0.010015086103355664,0.055371515879265365,-0.000997433973866424,0.03249207427468104,-0.015172971785749056,-0.03471338107738842
2017-01-05,NR,"Pic sans lendemain vers 49,375E (CF)",NR,NR,BlackRock dépasse les 5% (CF),"Bien orienté grâce à des relèvements de broker (CF) | Se hisse jusque vers 65,39E (CF) | JPMorgan Cazenove n'est plus vendeur (CF)",NR,Nomination chez Real Estate (CF),-0.0010138792325380397,-0.02590228122143534,-0.00038084752124822874,0.08039122232696139,-0.004349427970818165,0.001393250300481208,-0.03177493826498057,-0.026840275648964518
2017-01-09,NR,Pullback jusque sur 46E (CF) | Nomination en Italie (CF),Contrat au Mexique (CF),NR,BlackRock repasse au-dessus de 5% (CF) | BlackRock s'allège au capital (CF),NR,NR,NR,0.009133980468259306,0.0011902713623863637,-0.001891833773591256,0.04575916765117505,-0.017209353069445266,-0.0015318393993721813,-0.03514116510913423,0.00032685828096989944
2017-01-11,NR,NR,Retenu avec Bombardier pour le réseau francilien (CF),"Nouveau 'gap' haussier, au dessus des 218E (CF) | Porté par l'enthousiasme des analystes (CF) | Toujours à l'achat, SG vise 267 euros (CF) | UBS vise désormais 236 euros (CF) | Barclays Capital relève sa cible à 235 euros (CF)",BlackRock passe sous les 5% (CF),Iran Air réceptionne son premier A321 (CF) | GoAir va acquérir de nouveaux A320 NEO (CF) | 688 livraisons et 731 commandes nettes en 2016 (CF),NR,NR,0.02184304824784955,-0.018967583994666692,-0.03124414317593549,0.015022395741385752,-0.03232655864325529,-0.009471475026786247,-0.0488907365077027,-0.015341476766120854
2017-01-12,NR,NR,NR,NR,NR,NR,Départ de Véronique Weill (CF) | Place des obligations subordonnées à 30 ans (CF),Nomination chez Real Estate (CF),0.005751017569868733,-0.003923284677098127,-0.010857114288853165,0.016118278036526323,-0.02720918909689851,0.012212102113350554,-0.027591966777048893,-0.013047083822980698
2017-01-13,NR,NR,NR,NR,BlackRock se renforce au capital (CF),NR,NR,Transaction de Real Estate à Nice (CF),-0.008338892722389635,-0.034439144267154664,-0.03656478971089905,0.0006557515880643017,-0.04604118888270936,-0.004570430447096041,-0.05113982201682865,-0.03378375931911337
2017-01-16,NR,"Surveiller l'éventuelle cassure des 45,8E (CF) | Surveiller l'éventuelle cassure des 45,8E (CF) | Nouvelle offre baptisée Digital Trade Chain (CF) | Nouveau directeur général délégué nommé (CF)",NR,NR,NR,Lancement prochain du satellite SES-10 (CF),"Revient au contact du support des 23,75E (CF)",Transaction de Real Estate en Rhône-Alpes (CF) | La branche Immobilier lance un programme en IDF (CF),-0.012738825401893972,-0.030804135079210204,-0.03203179576503001,0.003535938061220323,-0.041446221080408074,0.004142323439740192,-0.039789460834703916,-0.03316449615520145
2017-01-17,NR,NR,"Société Générale toujours à l'achat (CF) | Ouvre un 'gap' sous 26,38E (CF) | Oddo confirme son conseil après les chiffres (CF) | Contrat pour une ligne de métro à Hanoï (CF) | Hausse de 3% du CA au 3e trimestre (CF)",NR,NR,NR,NR,NR,-0.022058818373300593,-0.0005455870259172269,-0.011285397790323892,0.009782088906593156,-0.035210330590294214,0.0032134520179953885,-0.037492067191033374,-0.010898279928097776
2017-01-18,NR,BlackRock passe sous les 5% des DDV (CF),NR,NR,"Vers un comblement du 'gap' des 76,67E (CF)",NR,"Franche cassure des 23,75E (CF)",Département Data & Analytics pour Real Estate (CF) | Retombe sous les 60E (CF),-0.029392152719376452,0.049763801384639095,0.02162995280060076,0.017450881566782428,-0.012769223260118201,0.008482465805390582,0.007991337753383787,0.0452337213110825
